,brand,subjectivity,polarity,nb_words,text_len,negative,neutral,positive,compound,Partition,Centrality
0,BALENCIAGA,0.0,0.0,8.785714285714286,68.07142857142857,0.0,1.0,0.0,0.0,0,0.05128205128205128
1,BenefitBeauty,0.4103261988077637,0.2326975220461031,8.416538105522987,48.19068188830608,0.026860536871335973,0.6169654427645802,0.2586781857451408,0.31047741437827736,3,0.07692307692307693
2,Boucheron,0.365158959221436,0.17937204734650783,13.162428645563052,83.83809029579658,0.013025428126621703,0.8262641411520519,0.1581172807472756,0.2813320186818888,2,0.6923076923076923
3,Bulgariofficial,0.37388987022188075,0.20334703280809455,13.314197530864197,85.19413580246913,0.00907962962962963,0.7889256172839482,0.20168796296296304,0.3713784876543216,3,0.6153846153846154
4,Burberry,0.2765456362965646,0.10713321713727075,13.772937905468027,89.38924930491196,0.0065023169601482874,0.912382761816497,0.08111584800741418,0.15811529193697946,4,0.28205128205128205
5,Cartier,0.4013364371399717,0.2127307093469581,14.520247083047357,87.8009608785175,0.024072065888812662,0.7807460535346595,0.19518462594371974,0.3647454358270436,3,0.6153846153846154
6,Chaumet,0.4016523571329417,0.21137526822809624,15.055608820709493,94.91754554170662,0.005395014381591562,0.8301025886864821,0.16354266538830278,0.3506873441994247,2,0.5897435897435898
7,Dior,0.3861525242649109,0.1659199454904071,16.273230769230768,100.40092307692308,0.007810769230769232,0.8788618461538489,0.11332707692307672,0.25504710769230793,4,0.4358974358974359
8,EmilioPucci,0.27101808387853155,0.14832752305737362,11.801194029850747,73.2602985074627,0.00913134328358209,0.8678525373134335,0.12242567164179104,0.21721152238805985,2,0.5384615384615384
9,Fendi,0.4482690527990547,0.20065039845482152,14.635076923076923,94.53446153846154,0.009254153846153844,0.8432270769230767,0.1475209230769233,0.3004248615384628,2,0.6153846153846154
10,GirardPerregaux,0.3602231859797344,0.1706951446343794,12.07920174618023,81.54318677892111,0.008919550982226382,0.8487917056439055,0.14228656064858125,0.25338709073901083,2,0.5897435897435898
